Domain,Use case name,Summary,Primary outcome,Claimed impact numbers (exact),Metric type,Time-to-value,Complexity,Dependencies,Example vendors/tools mentioned,Risks & compliance notes,Evidence,Rank (if stated),"Impact score (1-5, derived)","Confidence (1-5, derived)"
Family / Customer Experience,"Centralized message intake + routing (family, resident rep, ombudsman)","Trigger: inbound message → triage category (billing, clinical, visitation) → route to owner → SLA reminders. (approach: Workflow + CRM-like ticketing; templates; optional AI for categorization.). Expected outcomes: Faster response; fewer dropped issues; better satisfaction.",Family communication responsiveness,Not stated in report,quality,Not stated in report,Low (derived from listed approach),Workflow engine & workqueues,Not stated in report,Misrouting sensitive issues; tone/empathetic writing.,p10 — Family / Customer Experience table,,3,2
Orders / Referrals / Auths / Care Coordination,Templated update workflows tied to care milestones,"Trigger: admission, care plan meeting, significant change → send templated update with approved fields. (approach: Workflow + integration to events; guardrails to prevent PHI oversharing.). Expected outcomes: Reduced ad hoc calls; more consistent info sharing.",Operational efficiency,Not stated in report,quality,Not stated in report,Med (derived from listed approach),Integrations (APIs/HL7/FHIR/EDI/portals); Workflow engine & workqueues; Change management,Not stated in report,Wrong recipient; consent/authorization boundaries.,p11 — Other/Uncategorized table,,3,2
Compliance / QA / QAPI,Complaint/grievance workflow with escalation and reporting,Trigger: grievance criteria met → escalate → assign investigator → timeline tracking → closure letter. (approach: Workflow + document generation; audit trail.). Expected outcomes: Reduced regulatory risk; better tracking.,Family communication responsiveness,Not stated in report,quality,Not stated in report,Med (derived from listed approach),Document ingestion/OCR; Workflow engine & workqueues; Audit logs & evidence retention,Not stated in report,Definition clarity; staff avoidance.,p11 — Compliance / QA / QAPI table,,3,2
Staffing / Scheduling / Timekeeping / Credential Tracking,Online forms for scheduling visits / billing questions,Trigger: web form submission → validate identity → create ticket/appointment; auto-respond. (approach: Integration + workflow; rules for identity verification.). Expected outcomes: Reduced phone load; fewer interruptions.,Operational efficiency,Not stated in report,quality,Not stated in report,Med (derived from listed approach),Integrations (APIs/HL7/FHIR/EDI/portals); Workflow engine & workqueues; Rules/policy logic; Master data/identity matching,Not stated in report,Identity proofing; spam.,p11 — Staffing / Scheduling / Timekeeping / Credential Tracking table,,3,2
Family / Customer Experience,"Resident/family portal content management (policies, FAQs)",RAG over approved FAQs/policies for staff-facing responses; (not a public chatbot) with human review. (approach: RAG stack + guardrails; see Part 2.). Expected outcomes: Reduced admin questions; consistent guidance.,Family communication responsiveness,Not stated in report,quality,Not stated in report,Low (derived from listed approach),Not stated in report,Not stated in report,Hallucinations; outdated docs; needs strict retrieval-only mode.,p11 — Family / Customer Experience table,,3,2
IT Ops / Security / Reporting,IT ticket triage + auto-categorization + knowledge base suggestions,Trigger: ticket submitted → classify → suggest KB article → auto-resolve common requests; route exceptions. (approach: Workflow + ITSM integration; optional LLM triage; RPA for legacy systems.). Expected outcomes: Shorter MTTR; fewer escalations.,Operational efficiency,Not stated in report,quality,Not stated in report,Med (derived from listed approach),Integrations (APIs/HL7/FHIR/EDI/portals); Workflow engine & workqueues,Not stated in report,Misclassification; access to sensitive content.,p11 — IT Ops / Security / Reporting table,,3,2
IT Ops / Security / Reporting,Account provisionin g/deprovisioning (joiner/mover/leaver),Trigger: HR event → create/revoke accounts via SSO/SCIM; log actions per audit controls [S1]. (approach: Identity automation + policy engine (OPA) [S35]; RPA for legacy.). Expected outcomes: Faster onboarding/offb oarding; reduced orphaned accounts.,Operational efficiency,Not stated in report,quality,Not stated in report,Low (derived from listed approach),Rules/policy logic; Master data/identity matching; Audit logs & evidence retention,OPA,Role sprawl; app inventory gaps.,p11 — IT Ops / Security / Reporting table,,3,3
IT Ops / Security / Reporting,Automated access reviews (quarterly) with attestations,Trigger: quarterly cadence → generate access lists → manager attests → revoke non-approved. (approach: Workflow + integrations; audit trail [S1].). Expected outcomes: Stronger compliance posture; reduced risk.,Policy compliance / training,Not stated in report,quality/compliance,Not stated in report,Med (derived from listed approach),Integrations (APIs/HL7/FHIR/EDI/portals); Workflow engine & workqueues; Audit logs & evidence retention,Not stated in report,Manager rubber-stamping; incomplete integration.,p11 — IT Ops / Security / Reporting table,,3,3
IT Ops / Security / Reporting,"Report generation automation (census, staffing, finance) with lineage",Trigger: schedule/event → run ETL → produce standardized reports; provenance logs. (approach: ETL/orchestration (Airflow) [S30] + NiFi for flows [S32].). Expected outcomes: Less manual reporting; consistent metrics across 120+ facilities.,Operational efficiency,Not stated in report,quality,Not stated in report,Low (derived from listed approach),Not stated in report,Not stated in report,Data quality; “multiple sources of truth”.,p11 — IT Ops / Security / Reporting table,,2,3
IT Ops / Security / Reporting,Security logging/monitoring for automations and AI,Trigger: any bot/action → write immutable log (who/what/why) → alerts for anomalies. (approach: Central logging + SIEM; workflow trace IDs.). Expected outcomes: Reduced investigation time; safer automation at scale.,Operational efficiency,Not stated in report,quality,Not stated in report,Low (derived from listed approach),Workflow engine & workqueues,Not stated in report,Log noise; PHI in logs; retention management.,p11 — IT Ops / Security / Reporting table,,3,2
Revenue Cycle (Claims/Denials/Appeals/MRR),Automate medical record request (ADR) / CERT response packet assembly,"Auto-detect request → pull required note types/ orders/therapy/MDS evidence → assemble, QC checklist, and submit via payer portal/fax/EDI; track deadlines; audit log. (approach: Integration + workflow; RPA for portals; OCR for inbound requests; rules engine for packet requirements.). Expected outcomes: Fewer denials/reco upments; faster turnaround; measurable: reduce 'no response' errors; improve cash predictability (tie to CERT drivers) [S9].",Denials / appeals / cash,"$5.9B, 17.2%",cost/revenue,Not stated in report,High (derived from listed approach),Integrations (APIs/HL7/FHIR/EDI/portals); Document ingestion/OCR; Workflow engine & workqueues; Rules/policy logic; Audit logs & evidence retention,Not stated in report,Portal changes break bots; missing docs in EHR; governance of “what counts” as evidence; strict audit trail & segregation of duties.,p2 — Executive Summary ranked opportunities (Rank 1),1,5,5
Admissions / Intake / Eligibility / Bed Mgmt,Admissions packet + eligibility + bed management straight-through processing,"Trigger referral → capture docs (hospital packet, insurance card) → run eligibility (270/271) → prefill EHR/admissions system → tasks for exceptions. (approach: Integration/EDI; OCR+classification; RPA for non-API portals; rules for completeness.). Expected outcomes: Shorter time-to-admit; fewer incomplete packets; fewer downstream claim issues (documentation root causes) [S7][S8].",Admissions cycle time,Not stated in report,time,Not stated in report,Med (derived from listed approach),Integrations (APIs/HL7/FHIR/EDI/portals); Document ingestion/OCR; Rules/policy logic,Not stated in report,Bad OCR; duplicate patient identities; consent/ROI handling; need exception queues.,p2 — Executive Summary ranked opportunities (Rank 2),2,5,3
Finance Back Office,AP invoice capture + 2/3-way match + vendor onboarding workflow,"Ingest invoices → OCR extract → match to PO/receiving → route exceptions; vendor setup w/ W-9 validation; audit log. (approach: OCR + workflow + rules engine; integrations to ERP/AP; RPA for portals.). Expected outcomes: Cycle time reduction; error reduction; can benchmark via vendor case studies (e.g., OCR+RPA invoice processing) [S38].",Invoice cycle time / payment controls,Not stated in report,cost/revenue,Not stated in report,High (derived from listed approach),Integrations (APIs/HL7/FHIR/EDI/portals); Document ingestion/OCR; Workflow engine & workqueues; Rules/policy logic; Audit logs & evidence retention,Not stated in report,Mismatch exceptions; GL coding quality; controls for fraud & duplicate payments.,p2 — Executive Summary ranked opportunities (Rank 3),3,4,3
Staffing / Scheduling / Timekeeping / Credential Tracking,Staffing call-out to schedule auto-fill + PBJ-aligned timekeeping reconciliation,Call-out event → find qualified replacements → push to schedule/timeclock; nightly reconcile payroll vs schedule vs PBJ categories; flag anomalies. (approach: Integration/workflow; optimization engine; rules; RPA if schedule tools lack APIs.). Expected outcomes: Reduced overtime/agency leakage; cleaner PBJ submissions (fewer survey/audit issues) [S4].,Overtime / agency reduction,Not stated in report,cost/revenue,Not stated in report,Med (derived from listed approach),Integrations (APIs/HL7/FHIR/EDI/portals); Workflow engine & workqueues; Rules/policy logic,Not stated in report,Credential/compe tency mismatches; union rules; policy exceptions; change management.,p2 — Executive Summary ranked opportunities (Rank 4),4,4,3
Compliance / QA / QAPI,Survey readiness evidence locker + automated audit trails (Appendix PP/F-tags),Continuously collect artifacts → map to F-tags → maintain versioned policies/attestations → rapid export for survey. (approach: Workflow + document mgmt + OCR; rules for retention; RAG over policies (AI only for search/summary).). Expected outcomes: Lower survey prep burden; faster response; fewer missing-document citations (qualitative; driven by survey document requests) [S6].,Survey readiness / compliance,Not stated in report,quality/compliance,Not stated in report,Med (derived from listed approach),Integrations (APIs/HL7/FHIR/EDI/portals); Document ingestion/OCR; Workflow engine & workqueues; Rules/policy logic,Not stated in report,Over-reliance on auto-tagging; outdated policies; access control for sensitive docs.,p2 — Executive Summary ranked opportunities (Rank 5),5,3,3
Clinical Documentation / Chart Completion,MDS support + QRP submission validation and exception handling,"Pre-submission validation → missing item alerts → auto-create tasks for disciplines → submit, monitor rejects, resubmit. (approach: Integration + rules engine; workflow; analytics.). Expected outcomes: Fewer rejected submissions; avoid QRP penalties (APU reduction risk) [S11].",Documentation completeness,Not stated in report,quality/compliance,Not stated in report,Med (derived from listed approach),Integrations (APIs/HL7/FHIR/EDI/portals); Workflow engine & workqueues; Rules/policy logic; Analytics/process mining,Not stated in report,Rule drift across manual updates; data source ambiguity; role clarity.,p2 — Executive Summary ranked opportunities (Rank 6),6,3,3
IT Ops / Security / Reporting,IT access provisioning & quarterly access reviews across facilities,HR hire/term event → create accounts → assign roles → MFA → log actions; periodic access recertification; privileged access workflow. (approach: Integration (SCIM/SSO) + workflow; RPA for legacy; policy engine (OPA).). Expected outcomes: Faster onboarding/ offboarding; reduced orphaned accounts; better auditability [S1].,IT access / ticket resolution,Not stated in report,time,Not stated in report,Med (derived from listed approach),Integrations (APIs/HL7/FHIR/EDI/portals); Workflow engine & workqueues; Rules/policy logic,OPA,Role design issues; least privilege hard; shadow IT.,p3 — Executive Summary ranked opportunities (Rank 7),7,2,3
Procurement / Inventory / Receiving,Procurement par-levels + auto-reorder + lot/expiry traceability,Consumption/receiving triggers → reorder rules → reconcile invoices; lot/expiry capture at receiving; alerts. (approach: Integration; barcode/mobile; rules engine.). Expected outcomes: Less nursing 'hunt time'; lower waste; fewer missed charges (if supplies billable).,Inventory waste / stock-outs,Not stated in report,cost/revenue,Not stated in report,Low (derived from listed approach),Integrations (APIs/HL7/FHIR/EDI/portals); Rules/policy logic,Not stated in report,Data capture burden; vendor item master inconsistency; scanning compliance.,p3 — Executive Summary ranked opportunities (Rank 8),8,2,2
Foundations (Document Automation),"Document understanding: classify/route inbound faxes and mail (orders, denials, ADRs)","Rules struggle because document formats vary and include free text; AI improves classif ication/extraction beyond template OCR. Minimal data: Labeled set of ~500–2,000 docs per class; ground-truth routing outcome; continuous drift monitoring.. Stack: OCR (Tesseract/Paddl eOCR) [S25][S26] + layout (LayoutParser) [S27] + extraction via LLM (Llama/Mistral) served with vLLM/TGI [S17][S18] + guardrails (Presidio) [S20].. Evaluation: Test: per-class precision/recall; extraction field-level F1; “silent failure” rate; PHI leakage tests.",Denials / appeals / cash,500–2,cost/revenue,Not stated in report,High (derived: AI/ML deployment),Document ingestion/OCR,"Presidio, Tesseract, TGI, LayoutParser, vLLM",Model drift; over-extraction; missing rare doc types; staff bypass.,p12 — Part 2 AI as an Accelerator table,,3,4
Revenue Cycle (Claims/Denials/Appeals/MRR),NLP for denial reason classification and appeal drafting assist,Denial letters are unstructured and payer-specific; rules are brittle; AI can map narrative to CARC/RARC/next actions. Minimal data: Corpus of denials + final resolution; mapping to standard categories; appeal outcomes.. Stack: RAG over payer policies/contract terms + embeddings (BGE) [S24] + vector DB (pgv ector/Qdrant/Milvus) [S21][S22][S23] + reranker (FlagEmbedding) [S24].. Evaluation: Evaluate: correct category rate; appeal packet completeness; human rating; monitor hallucinations.,Denials / appeals / cash,Not stated in report,cost/revenue,Not stated in report,High (derived: AI/ML deployment),Not stated in report,"FlagEmbedding, Milvus, Qdrant",Hallucinated policy citations; confidential contract leakage; biased suggestions.,p12 — Part 2 AI as an Accelerator table,,2,2
Compliance / QA / QAPI,Survey/deficienc y evidence extraction and crosswalk to F-tags,"Survey requests are ad hoc; evidence lives across systems; AI can semantically find relevant logs/notes quickly. Minimal data: Indexed corpus of policies, logs, training, audits; tag mapping to F-tags (Appendix PP) [S6].. Stack: RAG over evidence locker; vector DB; strict retrieval-only answers; audit logs and citations.. Evaluation: Evaluate: retrieval recall on known evidence sets; citation correctness; abstention rate.",Survey readiness / compliance,Not stated in report,quality/compliance,Not stated in report,High (derived: AI/ML deployment),Audit logs & evidence retention,Not stated in report,Outdated documents; wrong-tag mapping; overconfidence.,p12 — Part 2 AI as an Accelerator table,,2,3
Cross-functional (Policies/Knowledge),Policy/SOP 'how do I' copilot for staff (internal only),"Staff questions are long-tail; hard to keep consistent answers; AI can guide but must cite policy sources. Minimal data: Clean, versioned policies + Q&A; logs; access control tags.. Stack: RAG + open-source LLM; serving via vLLM/TGI [S17][S18]; policy engine for access (OPA) [S35].. Evaluation: Evaluate: answer groundedness; refusal on missing source; PHI redaction effectiveness (Presidio) [S20].",Policy compliance / training,Not stated in report,quality/compliance,Not stated in report,High (derived: AI/ML deployment),Rules/policy logic,"TGI, OPA, vLLM",Hallucinations; policy conflicts; accidental PHI disclosure.,p12 — Part 2 AI as an Accelerator table,,2,2
Clinical Documentation / Chart Completion,Ambient documentation / STT to draft notes (human attestation required),Typing burden; but transcription errors /hallucinations can be clinically risky [S16]. Minimal data: Audio capture policy + consent; note templates; clinician review workflows; retention rules.. Stack: Open-source Whisper [S10] with on-prem/VPC deployment + confidence gating; optional commercial ambient solutions with BAAs.. Evaluation: Evaluate: word error rate on local accents; hallucination incidence; time-in-note changes (evidence in ambient studies) [S14].,Policy compliance / training,Not stated in report,quality/compliance,Not stated in report,High (derived: AI/ML deployment),Workflow engine & workqueues; Rules/policy logic,Whisper,False content insertion [S16]; privacy of always-on mics; consent and auditability.,p12 — Part 2 AI as an Accelerator table,,2,2
Staffing / Scheduling / Timekeeping / Credential Tracking,Predictive analytics: overtime risk / call-out risk,"Rules can flag thresholds; prediction adds value when patterns across sites are complex. Minimal data: 12–24 months of scheduling, payroll, census/acuity; labeled overtime outcomes.. Stack: Classical ML (XGBoost) + feature store (Feast) + MLOps; keep explainable.. Evaluation: Evaluate: calibration; lift vs baseline rules; fairness across job classes.",Overtime / agency reduction,12–24,cost/revenue,Not stated in report,High (derived: AI/ML deployment),Not stated in report,Not stated in report,Bad labels; per-facility drift; gaming of metrics.,p12 — Part 2 AI as an Accelerator table,,3,4
HR Back Office,Predictive analytics: turnover risk,"Can prioritize retention interventions; must avoid discriminatory use. Minimal data: HRIS history, tenure, schedule volatility, training, manager changes; outcome: voluntary term.. Stack: Explainable ML; privacy review; avoid protected attributes.. Evaluation: Evaluate: AUC + precision at top-k; disparate impact checks; intervention ROI.",Operational efficiency,Not stated in report,quality,Not stated in report,High (derived: AI/ML deployment),Change management,Not stated in report,Bias; chilling effects; misuse as punitive tool.,p13 — Part 2 AI as an Accelerator table,,3,2
Clinical Safety (Cross-functional),Clinical risk prediction: falls/r eadmissions (only if data supports),"Only useful if it drives actionable interventions; must avoid alert fatigue. Minimal data: MDS, vitals, incident reports, therapy notes; outcomes with time stamps.. Stack: Classical ML + rules layering; keep interpretable; integrate into workflows.. Evaluation: Evaluate: sensitivity at fixed false-positive rate; prospective silent trial; safety monitoring.",Fall risk / safety,Not stated in report,safety,Not stated in report,High (derived: AI/ML deployment),Workflow engine & workqueues; Rules/policy logic,Not stated in report,Data quality; confounding; staff mistrust.,p13 — Part 2 AI as an Accelerator table,,3,2
Clinical Safety (Cross-functional),Computer vision / sensors: fall detection & safety rounds,Adds value when humans can’t observe continuously; requires consent & clear purpose. Minimal data: Video/sensor data; privacy impact assessment; secure storage.. Stack: Edge inference; anonymization; consider not storing raw video when possible; policy + signage.. Evaluation: Evaluate: false alarms per day; missed event rate; response time improvement.,Fall risk / safety,Not stated in report,safety,Not stated in report,High (derived: AI/ML deployment),Not stated in report,Not stated in report,"Consent, resident dignity, surveillance creep; cybersecurity.",p13 — Part 2 AI as an Accelerator table,,2,2
Admissions / Intake / Eligibility / Bed Mgmt,Auto-create resident pre-admit record from referral packet (demographics/insurance),Touches: Fax/email/portal → OCR → EHR/admissions → billing. Type: OCR+workflow. Removes duplicate entry by: Eliminates demo graphic/insuranc e rekeying across systems.,Operational efficiency,Not stated in report,quality,Not stated in report,Med (derived from listed automation type/systems),Integrations (APIs/HL7/FHIR/EDI/portals); Document ingestion/OCR; Workflow engine & workqueues,Not stated in report,Not stated in report,p19 — Top 25 automations (rekeying removers),,2,2
Admissions / Intake / Eligibility / Bed Mgmt,Insurance card OCR → populate payer/member fields,Touches: Images → OCR → billing. Type: OCR. Removes duplicate entry by: Removes repeated typing of member IDs/group numbers.,Operational efficiency,Not stated in report,quality,Not stated in report,Low (derived from listed automation type/systems),Document ingestion/OCR,Not stated in report,Not stated in report,p19 — Top 25 automations (rekeying removers),,2,2
Admissions / Intake / Eligibility / Bed Mgmt,Eligibility 270/271 auto-check + populate benefits,Touches: EDI → billing. Type: Integration/EDI. Removes duplicate entry by: Eliminates portal lookups and manual note-taking.,Operational efficiency,Not stated in report,quality,Not stated in report,Low (derived from listed automation type/systems),Integrations (APIs/HL7/FHIR/EDI/portals),Not stated in report,Not stated in report,p19 — Top 25 automations (rekeying removers),,2,2
Admissions / Intake / Eligibility / Bed Mgmt,Prior auth packet auto-assembly and submission logging,Touches: EHR/docs → payer portal/278. Type: Workflow+RPA. Removes duplicate entry by: Removes repeated gatheri ng/printing/faxin g.,Operational efficiency,Not stated in report,quality,Not stated in report,Low (derived from listed automation type/systems),Integrations (APIs/HL7/FHIR/EDI/portals); Workflow engine & workqueues,Not stated in report,Not stated in report,p19 — Top 25 automations (rekeying removers),,2,2
Admissions / Intake / Eligibility / Bed Mgmt,Bed board « census « billing reconciliation,Touches: EHR « billing « BI. Type: Integration+MDM. Removes duplicate entry by: Stops duplicate census entry and daily reconciliation spreadsheets.,Bed utilization / census accuracy,Not stated in report,quality,Not stated in report,Low (derived from listed automation type/systems),Integrations (APIs/HL7/FHIR/EDI/portals); Master data/identity matching,Not stated in report,Not stated in report,p19 — Top 25 automations (rekeying removers),,2,2
Clinical Documentation / Chart Completion,Inbound physician orders fax → pending order queue,Touches: Fax → OCR → EHR. Type: OCR+workflow. Removes duplicate entry by: Removes manual transcription; retains image with linkage.,Operational efficiency,Not stated in report,quality,Not stated in report,Low (derived from listed automation type/systems),Document ingestion/OCR; Workflow engine & workqueues,Not stated in report,Not stated in report,p19 — Top 25 automations (rekeying removers),,2,2
Clinical Documentation / Chart Completion,Lab order placement + results routing (closed-loop),Touches: EHR « lab vendor. Type: Integration/RPA. Removes duplicate entry by: Eliminates manual portal entry and phone follow-up.,Operational efficiency,Not stated in report,quality,Not stated in report,Low (derived from listed automation type/systems),Integrations (APIs/HL7/FHIR/EDI/portals),Not stated in report,Not stated in report,p19 — Top 25 automations (rekeying removers),,2,2
Clinical Documentation / Chart Completion,Med reconciliation assist: extract discharge meds → pharmacist review,Touches: Hospital docs → MAR. Type: OCR+HITL. Removes duplicate entry by: Reduces transcription into MAR; keeps human verification.,Operational efficiency,Not stated in report,quality,Not stated in report,Low (derived from listed automation type/systems),Document ingestion/OCR,Not stated in report,Not stated in report,p19 — Top 25 automations (rekeying removers),,2,2
Revenue Cycle (Claims/Denials/Appeals/MRR),Therapy eval → auto-populate resident data/goals/codes,Touches: EHR « therapy system « billing. Type: Integration+templa ting. Removes duplicate entry by: Reduces duplicate entry of resident demographics and diagnosis.,Operational efficiency,Not stated in report,quality,Not stated in report,Low (derived from listed automation type/systems),Integrations (APIs/HL7/FHIR/EDI/portals),Not stated in report,Not stated in report,p19 — Top 25 automations (rekeying removers),,2,2
Clinical Documentation / Chart Completion,Chart completion rule-based reminders and signature capture,Touches: EHR tasks. Type: Rules+workflow. Removes duplicate entry by: Reduces repeated manual chases and late note rework.,Documentation completeness,Not stated in report,quality/compliance,Not stated in report,Low (derived from listed automation type/systems),Workflow engine & workqueues; Rules/policy logic,Not stated in report,Not stated in report,p19 — Top 25 automations (rekeying removers),,2,2
Clinical Documentation / Chart Completion,MDS prefill + missing-item worklist,Touches: EHR → MDS module. Type: Integration+rules. Removes duplicate entry by: Reduces duplicate entry and rework due to rejects [S5][S11].,Documentation completeness,Not stated in report,quality/compliance,Not stated in report,Low (derived from listed automation type/systems),Integrations (APIs/HL7/FHIR/EDI/portals); Rules/policy logic,Not stated in report,Not stated in report,p19 — Top 25 automations (rekeying removers),,2,3
Staffing / Scheduling / Timekeeping / Credential Tracking,PBJ category mapping from payroll job codes,Touches: Payroll → PBJ. Type: ETL+rules. Removes duplicate entry by: Eliminates manual PBJ spreadsheets [S4].,PBJ reporting compliance,Not stated in report,quality/compliance,Not stated in report,Low (derived from listed automation type/systems),Rules/policy logic,Not stated in report,Not stated in report,p20 — Top 25 automations (rekeying removers),,2,3
Finance Back Office,Schedule « timeclock « payroll nightly reconciliation,Touches: Scheduling/timeclock/payroll. Type: Integration+rules. Removes duplicate entry by: Reduces manual payroll exception cleanup.,Operational efficiency,Not stated in report,quality,Not stated in report,Low (derived from listed automation type/systems),Integrations (APIs/HL7/FHIR/EDI/portals); Rules/policy logic,Not stated in report,Not stated in report,p20 — Top 25 automations (rekeying removers),,2,2
Staffing / Scheduling / Timekeeping / Credential Tracking,Call-out broadcast + first-accept shift fill,Touches: Scheduling. Type: Workflow. Removes duplicate entry by: Eliminates manual group texting and re-entry to schedule.,Operational efficiency,Not stated in report,quality,Not stated in report,Low (derived from listed automation type/systems),Workflow engine & workqueues,Not stated in report,Not stated in report,p20 — Top 25 automations (rekeying removers),,2,2
HR Back Office,Credential/license expiration → schedule blocking,Touches: HRIS « scheduling. Type: Workflow+rules. Removes duplicate entry by: Removes manual tracking spreadsheets.,Operational efficiency,Not stated in report,quality,Not stated in report,Low (derived from listed automation type/systems),Workflow engine & workqueues; Rules/policy logic,Not stated in report,Not stated in report,p20 — Top 25 automations (rekeying removers),,2,2
HR Back Office,Offer accepted → onboarding packet generation + file creation,Touches: HRIS → doc mgmt. Type: Workflow. Removes duplicate entry by: Eliminates manual packet assembly and filing.,Operational efficiency,Not stated in report,quality,Not stated in report,Low (derived from listed automation type/systems),Workflow engine & workqueues,Not stated in report,Not stated in report,p20 — Top 25 automations (rekeying removers),,2,2
HR Back Office,Policy attestation automation with version control,Touches: Policy repo → LMS/attestation. Type: Workflow. Removes duplicate entry by: Removes manual sign-off tracking and ensures versioned proof [S6].,Policy compliance / training,Not stated in report,quality/compliance,Not stated in report,Low (derived from listed automation type/systems),Workflow engine & workqueues,Not stated in report,Not stated in report,p20 — Top 25 automations (rekeying removers),,2,3
HR Back Office,Joiner/mover/leaver IT provisioning via SSO/SCIM,Touches: HRIS → SSO/apps. Type: Integration. Removes duplicate entry by: Removes rekeying of user setup across apps; supports auditability [S1].,Operational efficiency,Not stated in report,quality,Not stated in report,Low (derived from listed automation type/systems),Integrations (APIs/HL7/FHIR/EDI/portals),Not stated in report,Not stated in report,p20 — Top 25 automations (rekeying removers),,2,3
IT Ops / Security / Reporting,Quarterly access review generation and attestation,Touches: SSO/apps. Type: Workflow. Removes duplicate entry by: Eliminates sprea dsheet-based access review evidence [S1].,Policy compliance / training,Not stated in report,quality/compliance,Not stated in report,Low (derived from listed automation type/systems),Workflow engine & workqueues,Not stated in report,Not stated in report,p20 — Top 25 automations (rekeying removers),,2,3
Finance Back Office,Invoice OCR capture + auto-GL coding suggestions,Touches: Email/PDF → AP/ERP. Type: OCR+workflow. Removes duplicate entry by: Removes invoice rekeying; supports touchless AP [S38].,Invoice cycle time / payment controls,Not stated in report,cost/revenue,Not stated in report,Med (derived from listed automation type/systems),Document ingestion/OCR; Workflow engine & workqueues,Not stated in report,Not stated in report,p20 — Top 25 automations (rekeying removers),,2,3
Finance Back Office,2/3-way match automation with tolerance rules,Touches: AP/ERP/receiving. Type: Rules+integration. Removes duplicate entry by: Eliminates manual match investigations for standard cases.,Operational efficiency,Not stated in report,quality,Not stated in report,Low (derived from listed automation type/systems),Integrations (APIs/HL7/FHIR/EDI/portals); Rules/policy logic,Not stated in report,Not stated in report,p20 — Top 25 automations (rekeying removers),,2,2
Finance Back Office,Vendor onboarding: W-9/ACH capture + approvals,Touches: Forms → ERP. Type: Workflow. Removes duplicate entry by: Removes email chains and duplicate vendor entry.,Operational efficiency,Not stated in report,quality,Not stated in report,Low (derived from listed automation type/systems),Workflow engine & workqueues,Not stated in report,Not stated in report,p20 — Top 25 automations (rekeying removers),,2,2
Procurement / Inventory / Receiving,Receiving: packing slip scan → receipts posting,Touches: Receiving → ERP/AP. Type: OCR+workflow. Removes duplicate entry by: Eliminates manual receiving entry; improves match accuracy.,Operational efficiency,Not stated in report,quality,Not stated in report,Low (derived from listed automation type/systems),Document ingestion/OCR; Workflow engine & workqueues,Not stated in report,Not stated in report,p20 — Top 25 automations (rekeying removers),,2,2
IT Ops / Security / Reporting,Work order intake via QR/webform → dispatch,Touches: Forms → CMMS. Type: Workflow. Removes duplicate entry by: Eliminates paper logs and rekeying; improves tracking.,Facilities response / compliance logs,Not stated in report,quality/compliance,Not stated in report,Low (derived from listed automation type/systems),Workflow engine & workqueues,Not stated in report,Not stated in report,p20 — Top 25 automations (rekeying removers),,2,2
Revenue Cycle (Claims/Denials/Appeals/MRR),Denial/ADR ingestion → auto-classify → assign workqueue,Touches: 835/letters/portals. Type: Integration+OCR. Removes duplicate entry by: Removes manual sorting and data entry; reduces missed deadlines [S9].,Denials / appeals / cash,Not stated in report,cost/revenue,Not stated in report,Low (derived from listed automation type/systems),Integrations (APIs/HL7/FHIR/EDI/portals); Document ingestion/OCR,Not stated in report,Not stated in report,p21 — Top 25 automations (rekeying removers),,2,3
Admissions / Intake / Eligibility / Bed Mgmt,"Admissions referral packet (face sheet, H&P;, discharge summary, insurance card)",OCR+classification + completeness routing,Operational efficiency,Not stated in report,quality,Not stated in report,Low (derived from best-fit pattern),Document ingestion/OCR,Not stated in report,Not stated in report,p21 — Top 15 document-heavy workflows,,2,2
Clinical Documentation / Chart Completion,Physician orders (faxed/emailed),OCR → pending order queue (human sign-off),Operational efficiency,Not stated in report,quality,Not stated in report,Low (derived from best-fit pattern),Document ingestion/OCR; Workflow engine & workqueues; Human-in-the-loop approvals,Not stated in report,Not stated in report,p21 — Top 15 document-heavy workflows,,2,2
Admissions / Intake / Eligibility / Bed Mgmt,Prior authorization requests and supporting documents,Packet assembly + submission + status tracking,Operational efficiency,Not stated in report,quality,Not stated in report,Low (derived from best-fit pattern),Not stated in report,Not stated in report,Not stated in report,p21 — Top 15 document-heavy workflows,,2,2
Revenue Cycle (Claims/Denials/Appeals/MRR),Denial letters / remittance advice narratives,OCR/NLP classification → appeal templates,Denials / appeals / cash,Not stated in report,cost/revenue,Not stated in report,Low (derived from best-fit pattern),Document ingestion/OCR,Not stated in report,Not stated in report,p21 — Top 15 document-heavy workflows,,2,2
Revenue Cycle (Claims/Denials/Appeals/MRR),Medical record request letters (ADR/CERT/UM),OCR → deadline tracking → packet assembly,Audit response / ADR-CERT,Not stated in report,quality/compliance,Not stated in report,Low (derived from best-fit pattern),Document ingestion/OCR,Not stated in report,Not stated in report,p21 — Top 15 document-heavy workflows,,2,2
Revenue Cycle (Claims/Denials/Appeals/MRR),Therapy evaluations and progress notes,Template extraction → billing support,Operational efficiency,Not stated in report,quality,Not stated in report,Low (derived from best-fit pattern),Not stated in report,Not stated in report,Not stated in report,p21 — Top 15 document-heavy workflows,,2,2
